Geographic Area,City,percent_completed_hs,poverty_rate
AL,Abanda CDP,21.2,78.8
AL,Abbeville city,69.1,29.1
AL,Adamsville city,78.9,25.5
AL,Addison town,81.4,30.7
AL,Akron town,68.6,42
AL,Alabaster city,89.3,11.2
AL,Albertville city,72.7,26.7
AL,Alexander City city,78.1,30.4
AL,Alexandria CDP,88.8,9.7
AL,Aliceville city,74.3,41.3
AL,Allgood town,48.1,27.7
AL,Altoona town,66.9,27.5
AL,Andalusia city,81.1,24.5
AL,Anderson town,85.7,13.8
AL,Anniston city,79.8,31.7
AL,Arab city,87.6,16.7
AL,Ardmore town,77.7,19.1
AL,Argo town,87.5,8.6
AL,Ariton town,71.3,37.6
AL,Arley town,80.6,31.6
AL,Ashford town,83.5,18.8
AL,Ashland town,77.9,22.4
AL,Ashville city,77.6,28.3
AL,Athens city,83.4,13
AL,Atmore city,73.7,24.7
AL,Attalla city,76,20.3
AL,Auburn city,94.3,31.8
AL,Autaugaville town,71.2,24.1
AL,Avon town,82.8,22.2
AL,Axis CDP,79.9,6.8
AL,Babbie town,81.2,15.7
AL,Baileyton town,74.7,28.6
AL,Bakerhill town,72.4,19.1
AL,Ballplay CDP,80.3,7.1
AL,Banks town,73,38.2
AL,Bay Minette city,79.1,26.3
AL,Bayou La Batre city,58.5,30.1
AL,Bear Creek town,76.7,25.3
AL,Beatrice town,89.1,44.9
AL,Beaverton town,87.9,8.1
AL,Belgreen CDP,87,28.8
AL,Belk town,63.8,39.1
AL,Bellamy CDP,86.5,42.9
AL,Belle Fontaine CDP,91.9,36.7
AL,Benton town,100,0
AL,Berry town,65.4,30.9
AL,Bessemer city,81.5,32.9
AL,Billingsley town,71.3,20.5
AL,Birmingham city,85.1,30.9
AL,Black town,90,12.7
AL,Blountsville town,73.1,41.2
AL,Blue Ridge CDP,97.6,0.5
AL,Blue Springs town,95.6,4
AL,Boaz city,76.6,19.4
AL,Boligee town,79.9,60.3
AL,Bon Air town,85.7,47.6
AL,Bon Secour CDP,79,18.2
AL,Boykin CDP,53.7,53.7
AL,Brantley town,75.1,20.7
AL,Brantleyville CDP,85.1,19.2
AL,Brent city,73.8,17.3
AL,Brewton city,84.5,27.8
AL,Bridgeport city,74.9,34.7
AL,Brighton city,78.6,33
AL,Brilliant town,75.9,22.5
AL,Bristow Cove CDP,65.1,39.7
AL,Brook Highland CDP,96.2,11.5
AL,Brookside town,78.7,19.2
AL,Brookwood town,83.1,10.8
AL,Broomtown CDP,66.2,23.8
AL,Brundidge city,77.2,32.4
AL,Bucks CDP,100,0
AL,Butler town,80.2,25.3
AL,Calera city,89.1,5.8
AL,Calvert CDP,22.8,79.4
AL,Camden city,82.8,31.9
AL,Camp Hill town,76.6,36.6
AL,Carbon Hill city,65.4,32.2
AL,Cardiff town,72.7,30
AL,Carlisle-Rockledge CDP,73.1,17.2
AL,Carlton CDP,77,18.9
AL,Carolina town,87.8,7.4
AL,Carrollton town,71,29.1
AL,Castleberry town,75.9,39.6
AL,Catherine CDP,100,0
AL,Cedar Bluff town,77.9,25.8
AL,Center Point city,87.1,25
AL,Centre city,76.7,25.1
AL,Centreville city,81.6,22.4
AL,Chatom town,76,19.8
AL,Chelsea city,93.5,4.9
AL,Cherokee town,80.9,19.9
AL,Chickasaw city,79.9,33.6
AL,Childersburg city,78.8,38.6
AL,Choccolocco CDP,89.4,14.7
AL,Chunchula CDP,91.2,0
AL,Citronelle city,82.5,16.9
AL,Clanton city,76.8,16.9
AL,Clay city,92.2,6.6
AL,Clayhatchee town,85.3,16.4
AL,Clayton town,57.8,29.3
AL,Cleveland town,74.4,15
AL,Clio city,63.1,31.4
AL,Coaling town,88.2,19.5
AL,Coats Bend CDP,90.9,15
AL,Coffee Springs town,78,21.2
AL,Coffeeville town,71.7,41.3
AL,Coker town,89.2,10
AL,Collinsville town,52,32.1
AL,Colony town,77,24.8
AL,Columbia town,79,20.1
AL,Columbiana city,74.4,24
AL,Concord CDP,91.3,7.9
AL,Coosada town,84.3,23.5
AL,Cordova city,79.8,32.8
AL,Cottondale CDP,74.9,12.8
AL,Cottonwood town,76.3,29.8
AL,County Line town,83.9,10.7
AL,Courtland town,79.6,25.8
AL,Cowarts town,86,11.7
AL,Creola city,84.4,18.1
AL,Crossville town,70.4,38.1
AL,Cuba town,92.1,21
AL,Cullman city,85.3,21.9
AL,Cullomburg CDP,93.4,8.5
AL,Cusseta town,83.7,9.3
AL,Dadeville city,73.7,28.8
AL,Daleville city,85.3,24.5
AL,Daphne city,95.8,11.2
AL,Dauphin Island town,95.8,3.6
AL,Daviston town,87.8,12.9
AL,Dayton town,100,48
AL,Deatsville town,96.3,5.1
AL,Decatur city,82.7,21.2
AL,Deer Park CDP,86.3,28.1
AL,Delta CDP,87,0
AL,Demopolis city,89.1,31
AL,Detroit town,64.8,27.9
AL,Dodge City town,81.7,16.7
AL,Dora city,82.3,17.2
AL,Dothan city,86.2,19.1
AL,Double Springs town,74.5,27.5
AL,Douglas town,78.5,34.9
AL,Dozier town,79.1,30.3
AL,Dunnavant CDP,76,7.7
AL,Dutton town,90.6,24.2
AL,East Brewton city,83.6,30.6
AL,East Point CDP,91.4,0
AL,Eclectic town,84.2,13.4
AL,Edgewater CDP,84.1,26.5
AL,Edwardsville town,87,5.1
AL,Egypt CDP,84.9,4.5
AL,Elba city,76.9,31.1
AL,Elberta town,85.8,15.8
AL,Eldridge town,75,37.8
AL,Elkmont town,78.2,11.2
AL,Elmore town,70.5,30
AL,Emelle town,79.3,0
AL,Emerald Mountain CDP,90.9,8.2
AL,Enterprise city,89.2,16.3
AL,Epes town,81.6,24.8
AL,Ethelsville town,80.6,32.3
AL,Eufaula city,81.5,25.3
AL,Eunola CDP,96.1,0
AL,Eutaw town,73.2,32.7
AL,Eva town,91.2,11.1
AL,Evergreen city,79.2,52.6
AL,Excel town,86,18.6
AL,Fairfield city,88.9,23.4
AL,Fairford CDP,57.6,0
AL,Fairhope city,95.4,11.2
AL,Fairview town,82,24
AL,Falkville town,65.1,26
AL,Faunsdale town,85.7,30.2
AL,Fayette city,79.1,25.9
AL,Fayetteville CDP,68.5,15.3
AL,Fitzpatrick CDP,60.7,15.5
AL,Five Points town,61.9,20.4
AL,Flomaton town,77.3,30.2
AL,Florala town,79.6,30.1
AL,Florence city,84.4,24.6
AL,Foley city,91.5,18.9
AL,Forestdale CDP,93.5,17
AL,Forkland town,74.1,48.1
AL,Fort Deposit town,70.5,30.2
AL,Fort Payne city,67.7,19
AL,Fort Rucker CDP,98.8,8
AL,Franklin town,85,6.6
AL,Fredonia CDP,88.6,18.4
AL,Frisco City town,77.3,31.3
AL,Fruitdale CDP,93.3,33
AL,Fruithurst town,75.8,13.5
AL,Fulton town,76,19.9
AL,Fultondale city,85.1,14
AL,Fyffe town,83.7,12.8
AL,Gadsden city,78.3,29.4
AL,Gainesville town,76.7,40.9
AL,Gallant CDP,83.7,3.9
AL,Gantt town,85.6,8.3
AL,Garden City town,79.8,19.3
AL,Gardendale city,92.2,7.8
AL,Gaylesville town,78.4,19.3
AL,Geiger town,71.3,19.5
AL,Geneva city,78.1,30.3
AL,Georgiana town,71.1,35.5
AL,Geraldine town,84.2,13.8
AL,Gilbertown town,83.8,21.5
AL,Glen Allen town,76.5,21.4
AL,Glencoe city,86.6,11.1
AL,Glenwood town,84.8,13.6
AL,Goldville town,86.7,9.3
AL,Good Hope town,86.5,15.2
AL,Goodwater town,71.6,32.2
AL,Gordo town,80.4,26.3
AL,Gordon town,66.8,26.9
AL,Gordonville town,76.1,39.2
AL,Goshen town,71.2,31.9
AL,Graham CDP,74,4.5
AL,Grand Bay CDP,84.6,6.4
AL,Grant town,89.2,7.2
AL,Grayson Valley CDP,90.4,8.9
AL,Graysville city,79.8,17.4
AL,Greensboro city,75,39.3
