Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,year,month,day,fdate,b,l,w,a,tr,AvgAge,VA,F,nshots,sit,other,replica,knife,weapon
1/9/2010,1,F,Y,,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,1,9,1/9/2010,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
1/13/2010,1,F,Y,,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,1,13,1/13/2010,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
1/29/2010,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,1,29,1/29/2010,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
3/4/2010,1,N,N,motorized vehicle; no hits,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,3,4,3/4/2010,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
3/29/2010,1,F,N,motorized vehicle,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2010,3,29,3/29/2010,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
4/14/2010,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,4,14,4/14/2010,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
6/10/2010,1,F,Y,,W,M,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,2010,6,10,6/10/2010,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
6/15/2010,1,F,N,knife/cutting instrument,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,6,15,6/15/2010,0,0,0,0,0,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
7/27/2010,1,F,N,knife/cutting instrument,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,7,27,7/27/2010,0,1,0,0,1,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
7/28/2010,1,N,N,motorized vehicle,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,2010,7,28,7/28/2010,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
8/17/2010,1,F,N,knife/cutting instrument,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,8,17,8/17/2010,0,1,0,0,1,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
9/14/2010,1,N,N,knife/cutting instrument,W,M,U,NA,NA,1,W,F,Albuquerque Police Department,NA,Albuquerque,2010,9,14,9/14/2010,0,0,1,0,1,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,TRUE,knife
10/18/2010,1,F,Y,,U,M,U,NA,NA,3,U;H;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,2010,10,18,10/18/2010,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
10/31/2010,1,F,N,motorized vehicle,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,10,31,10/31/2010,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
11/10/2010,1,N,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,11,10,11/10/2010,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
11/11/2010,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,11,11,11/11/2010,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
11/11/2010,1,N,N,motorized vehicle,L,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2010,11,11,11/11/2010,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
1/14/2011,1,N,N,no hits,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,1,14,1/14/2011,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
