Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
3/4/2010,1,N,N,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle; no hits
1/9/2010,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/10/2010,1,F,Y,W,M,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,
11/10/2010,1,N,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
11/11/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
11/11/2010,1,N,N,L,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
6/4/2011,1,F,Y,L,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
9/7/2011,1,N,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
2/9/2011,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
5/10/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
4/12/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/4/2012,1,F,Y,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
8/6/2012,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
12/1/2013,1,F,N,W,M,U,NA,NA,3,W;W;H,M;M;M,Albuquerque Police Department,NA,Albuquerque,blunt instrument
9/3/2013,1,N,Y,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
3/5/2013,1,F,Y,W,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
7/5/2013,1,F,N,B,M,U,NA,NA,2,W;W,M;F,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
12/8/2013,1,F,N,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,blunt instrument
11/9/2013,1,N,Y,U,U,U,NA,NA,4,W;W;H;H,M;M;M;M,Albuquerque Police Department,NA,Albuquerque,
5/3/2014,1,F,Y,B,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/9/2014,1,N,N,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
1/3/2015,1,N,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/4/2015,1,N,N,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle; no hits
1/9/2015,1,N,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
2/2/2016,1,F,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/11/2016,1,N,Y,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
1/13/2010,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/13/2015,1,F,Y,W,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,
1/14/2011,1,N,N,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,no hits
1/29/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
10/18/2010,1,F,Y,U,M,U,NA,NA,3,U;H;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
10/22/2016,1,N,Y,U,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
10/26/2013,1,F,Y,W,M,U,NA,NA,6,H;H;W;W;W;W,M;F;M;M;M;M,Albuquerque Police Department,NA,Albuquerque,
10/28/2013,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
10/31/2010,1,F,N,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
11/15/2013,1,N,Y,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
12/14/2014,1,N,N,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,accidental discharge
12/17/2012,1,N,N,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,no hits
12/22/2015,1,N,Y,L,M,U,NA,NA,2,W;W,F;M,Albuquerque Police Department,NA,Albuquerque,
3/16/2014,1,F,N,W,M,U,NA,NA,2,H;U,M;M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
3/19/2012,1,F,N,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
3/19/2013,1,F,Y,B,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
3/21/2012,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
3/25/2014,1,F,Y,U,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
3/29/2010,1,F,N,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
4/14/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
4/19/2012,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
4/21/2014,1,F,Y,W,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
5/22/2014,1,F,N,L,M,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
5/24/2016,1,F,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
5/25/2015,1,N,U,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,no hits
5/28/2015,1,N,U,L,M,U,NA,NA,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M,Albuquerque Police Department,NA,Albuquerque,no hits
5/28/2016,1,F,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/15/2010,1,F,N,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
6/15/2016,1,F,Y,U,M,U,NA,NA,3,W;H;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
6/20/2012,1,N,Y,L,M,U,NA,NA,1,U,M,Albuquerque Police Department,NA,Albuquerque,
6/26/2011,1,N,N,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
7/22/2014,1,F,Y,W,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,
7/27/2010,1,F,N,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
7/28/2010,1,N,N,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
7/30/2013,1,N,N,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,
7/31/2015,1,F,Y,L,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,
8/17/2010,1,F,N,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
8/21/2013,1,N,N,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
8/30/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
9/14/2010,1,N,N,W,M,U,NA,NA,1,W,F,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
9/30/2015,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
2010,1,N,N,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1; Date not specified; ad
9/1/2011,1,N,Y,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,2
4/8/2011,1,N,Y,U,U,U,NA,14,3,U,U,Atlanta Police Department,NA,Atlanta,1
8/10/2011,1,F,N,U,U,U,NA,10,1,U,U,Atlanta Police Department,NA,Atlanta,5; BB gun
9/5/2012,1,F,Y,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,3
11/8/2012,1,N,Y,U,U,U,NA,6,1,U,U,Atlanta Police Department,NA,Atlanta,2
4/4/2013,1,N,N,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1; ad
9/11/2013,1,N,Y,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
9/11/2013,1,N,Y,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
5/2/2014,1,N,Y,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
7/3/2014,1,F,N,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; ax
9/7/2014,1,N,Y,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,1
7/10/2014,1,N,N,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1; furtive movement
7/1/2015,1,N,N,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
5/7/2015,1,N,N,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
5/7/2015,1,N,N,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
4/8/2015,1,N,Y,U,U,U,NA,20,2,U,U,Atlanta Police Department,NA,Atlanta,4
10/10/2015,1,N,N,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
8/12/2015,1,N,Y,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,4
8/12/2015,1,N,Y,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,4
1/23/2014,1,N,Y,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
10/14/2013,1,N,N,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,1; vehicle
10/24/2014,1,N,Y,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1
10/25/2011,1,N,Y,U,U,U,NA,10,2,U,U,Atlanta Police Department,NA,Atlanta,2
11/28/2011,1,F,N,U,U,U,NA,16,2,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; knife
12/18/2012,1,N,Y,U,U,U,NA,13,1,U,U,Atlanta Police Department,NA,Atlanta,1
2/27/2010,1,N,Y,U,U,U,NA,5,NA,U,U,Atlanta Police Department,NA,Atlanta,1
4/20/2010,1,F,Y,U,U,U,NA,1,3,U,U,Atlanta Police Department,NA,Atlanta,1
4/30/2012,1,N,Y,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
4/30/2015,1,F,Y,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
5/13/2013,1,F,Y,U,U,U,NA,11,2,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
5/18/2012,1,N,N,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,2; knife
5/21/2014,1,N,N,U,U,U,NA,NA,3,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; fake pistol
6/16/2014,1,N,N,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; crowbar
6/19/2013,1,N,Y,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,2
6/20/2014,1,N,Y,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1
6/23/2010,1,N,N,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,Shots grazed; ricichet
6/27/2012,1,F,N,U,U,U,NA,17,3,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
6/30/2011,1,F,N,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,1; asp baton
7/13/2012,1,F,Y,U,U,U,NA,5,2,U,U,Atlanta Police Department,NA,Atlanta,3
8/21/2015,1,N,N,U,U,U,NA,NA,3,U,U,Atlanta Police Department,NA,Atlanta,hits unknown; vehicle
8/27/2014,1,N,N,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,1; knife
9/19/2013,1,N,Y,U,U,U,NA,9,1,U,U,Atlanta Police Department,NA,Atlanta,hits unknown
10/1/2010,1,F,Y,L,M,16,Burglary / home invasion,NA,1,W,M,Austin Police Department,,Austin,
11/2/2010,1,F,Y,A,M,26,Shots fired / shooting,NA,2,W;W,M;M,Austin Police Department,,Austin,
11/5/2011,1,N,N,L,M,34,Fight / disorderly conduct,NA,1,W,M,Austin Police Department,,Austin,No Hits
12/5/2011,1,N,N,W,M,26,Stolen vehicle,NA,2,W;W,M;M,Austin Police Department,,Austin,Vehicle
5/9/2011,1,F,Y,L,M,30,Shots fired / shooting,NA,1,H,M,Austin Police Department,,Austin,
2/3/2012,1,N,Y,W,M,34,Mental crisis / suicide attempt,NA,1,W,M,Austin Police Department,,Austin,Indicted; charges dropped
4/5/2012,1,F,N,B,M,35,Traffic stop,NA,1,W,M,Austin Police Department,,Austin,
3/1/2013,1,F,Y,W,M,70,Shots fired / shooting,NA,1,W,M,Austin Police Department,,Austin,
5/8/2013,1,N,N,W,M,55,Traffic stop,NA,1,W,M,Austin Police Department,,Austin,No Hits
11/10/2013,1,N,Y,L,M,30,Other,NA,2,W;H,M;M,Austin Police Department,,Austin,
9/8/2014,1,F,Y,W,M,24,Robbery,NA,2,W;W,M;M,Austin Police Department,,Austin,
7/5/2015,1,F,N,W,M,25,Other,NA,3,W;W;A,M;M;M,Austin Police Department,,Austin,
7/5/2015,1,F,Y,W,M,35,Shots fired / shooting,NA,1,H,M,Austin Police Department,,Austin,BB gun
2/7/2015,1,F,Y,W,M,27,Shots fired / shooting,NA,1,W,M,Austin Police Department,,Austin,
7/12/2015,1,F,Y,W,M,63,Suspicious activity / patrol,NA,1,W,M,Austin Police Department,,Austin,
4/3/2016,1,F,Y,W,M,25,Suspicious person,>/=4,1,H,M,Austin Police Department,"The concierge at 800 W 5th Street observed a subject on video surveillance as he attempted to burglarize vehicles. The concierge attempted to subdue the subject several times but was unsuccessful. Ofc observed the concierge chasing the subject on foot. Ofc exited his vehicle as the concierge tackled the subject. As Ofc attempted to handcuff the subject, he produced a handgun and shot Ofc. Ofc returned fire , striking and killing the subject.",Austin,
9/5/2016,1,F,Y,L,U,U,Family Disturbance,>/=8,3,W;W;W,M;M;M,Austin Police Department,Officers responded to a disturbance call at an apartment complex where a female stated that her ex boyfriend was at the location wanting his property and she did not want to let him inside. She indicated that he had told her in the past that he owns a gun and that if she called the police he would run at officers with a knife. Officer located the subject in the parking lot holding a rifle. The subject ignored officers' commands to drop his weapon and waved it at the officers. One officer attempted to incapacitate the subject with less lethal rounds but was unsuccessful. Subject was subsequently fired upon by two other officers. Subject was transported to the hospital where he was pronounced deceased.,Austin,"Attempt to use ""less lethal"" force, domestic dispute"
9/5/2016,1,F,Y,L,U,U,Family Disturbance,>/=8,3,W;W;W,M;M;M,Austin Police Department,Officers responded to a disturbance call at an apartment complex where a female stated that her ex boyfriend was at the location wanting his property and she did not want to let him inside. She indicated that he had told her in the past that he owns a gun and that if she called the police he would run at officers with a knife. Officer located the subject in the parking lot holding a rifle. The subject ignored officers' commands to drop his weapon and waved it at the officers. One officer attempted to incapacitate the subject with less lethal rounds but was unsuccessful. Subject was subsequently fired upon by two other officers. Subject was transported to the hospital where he was pronounced deceased.,Austin,"Attempt to use ""less lethal"" force, domestic dispute"
4/6/2016,1,N,N,W,U,U,Suicidal Subject,>/=1,1,W,M,Austin Police Department,"Subject called 911 and stated he had a gun and wanted officers to respond. Subject made several comments that he wanted to shoot police officers but did not want to harm himself or others. Subject was confronted in the roadway by SWAT officers, raised his arm while concealing an object in his hand, pointed it in the direction of the SWAT officers, and was given verbal commands to drop the item but failed to comply. A SWAT officer discharged his weapon striking the subject. Subject was taken into custody, found to be in possession of a edged weapon, and was transported to the hospital to be treated for the inflicted injury.",Austin,"Mental Health, SWAT Team, ""edged weapon"""
